asv	sequencing_depth	species	samples	cultures	single_or_multiple_cultures	name
ASV_67	128	Gigaspora_rosea	62	BR155B	Single	Gigaspora_rosea_BR155B_ASV_67
ASV_68	126	Multiple_species	8|39	MT106|JA205B	Multi	Multiple_species_MT106|JA205B_ASV_68
ASV_69	124	Gigaspora_albida	9	BR235	Single	Gigaspora_albida_BR235_ASV_69
ASV_70	124	Funneliformis_mosseae	46	87_11	Single	Funneliformis_mosseae_87_11_ASV_70
ASV_71	123	Funneliformis_mosseae	69	NC302C	Single	Funneliformis_mosseae_NC302C_ASV_71
ASV_72	121	Gigaspora_albida	9	BR235	Single	Gigaspora_albida_BR235_ASV_72
ASV_73	121	Funneliformis_mosseae	46	87_11	Single	Funneliformis_mosseae_87_11_ASV_73
ASV_74	120	Gigaspora_gigantea	80	KS302	Single	Gigaspora_gigantea_KS302_ASV_74
ASV_75	120	Funneliformis_monosporus	88	WY107	Single	Funneliformis_monosporus_WY107_ASV_75
ASV_76	119	Gigaspora_decipiens	89	AU102_9	Single	Gigaspora_decipiens_AU102_9_ASV_76
ASV_77	117	Dentiscutata_erythropa	85	RI275_31	Single	Dentiscutata_erythropa_RI275_31_ASV_77
ASV_78	117	Funneliformis_mosseae	46	87_11	Single	Funneliformis_mosseae_87_11_ASV_78
ASV_79	114	Funneliformis_coronatus	15	MR101	Single	Funneliformis_coronatus_MR101_ASV_79
ASV_80	114	Funneliformis_mosseae	46	87_11	Single	Funneliformis_mosseae_87_11_ASV_80
ASV_81	112	Gigaspora_albida	9	BR235	Single	Gigaspora_albida_BR235_ASV_81
ASV_82	110	Gigaspora_rosea	20|62	FL105_11|BR155B	Multi	Gigaspora_rosea_FL105_11|BR155B_ASV_82
ASV_83	109	Ambispora_gerdemannii	8	MT106	Single	Ambispora_gerdemannii_MT106_ASV_83
ASV_84	107	Glomus_mortonii	64	205_8	Single	Glomus_mortonii_205_8_ASV_84
ASV_85	107	Funneliformis_mosseae	46	87_11	Single	Funneliformis_mosseae_87_11_ASV_85
ASV_86	104	Funneliformis_mosseae	69	NC302C	Single	Funneliformis_mosseae_NC302C_ASV_86
ASV_87	103	Gigaspora_decipiens|unknown	70|89	AU102_9|JAY1	Multi	Gigaspora_decipiens|unknown_AU102_9|JAY1_ASV_87
ASV_88	102	Funneliformis_monosporus	88	WY107	Single	Funneliformis_monosporus_WY107_ASV_88
ASV_89	101	Multiple_species	37|40	IS185_26|KS210	Multi	Multiple_species_IS185_26|KS210_ASV_89
ASV_90	100	Gigaspora_albida	9	BR235	Single	Gigaspora_albida_BR235_ASV_90
ASV_91	100	Funneliformis_mosseae	46	87_11	Single	Funneliformis_mosseae_87_11_ASV_91
ASV_92	99	Gigaspora_rosea	62	BR155B	Single	Gigaspora_rosea_BR155B_ASV_92
ASV_93	93	Gigaspora_decipiens|unknown	70|89	AU102_9|JAY1	Multi	Gigaspora_decipiens|unknown_AU102_9|JAY1_ASV_93
ASV_94	92	Funneliformis_mosseae	46	87_11	Single	Funneliformis_mosseae_87_11_ASV_94
ASV_95	89	Dentiscutata_erythropa	85	RI275_31	Single	Dentiscutata_erythropa_RI275_31_ASV_95
ASV_96	89	Gigaspora_albida	9	BR235	Single	Gigaspora_albida_BR235_ASV_96
ASV_97	88	Paraglomus_brasilianum	77	FL710_19	Single	Paraglomus_brasilianum_FL710_19_ASV_97
ASV_98	88	Gigaspora_albida	9	BR235	Single	Gigaspora_albida_BR235_ASV_98
ASV_99	87	Multiple_species	8|86	MT106|MA461A	Multi	Multiple_species_MT106|MA461A_ASV_99
ASV_100	86	Ambispora_gerdemannii	8	MT106	Single	Ambispora_gerdemannii_MT106_ASV_100
ASV_101	86	Funneliformis_monosporus	88	WY107	Single	Funneliformis_monosporus_WY107_ASV_101
ASV_102	86	Funneliformis_monosporus	88	WY107	Single	Funneliformis_monosporus_WY107_ASV_102
ASV_103	85	Rhizophagus_dimorphicus	25	FL912N	Single	Rhizophagus_dimorphicus_FL912N_ASV_103
ASV_104	84	Gigaspora_albida	9	BR235	Single	Gigaspora_albida_BR235_ASV_104
ASV_105	83	Multiple_species	8|86	MT106|MA461A	Multi	Multiple_species_MT106|MA461A_ASV_105
ASV_106	83	Funneliformis_mosseae	69	NC302C	Single	Funneliformis_mosseae_NC302C_ASV_106
ASV_107	80	Innospora_majewski	39	JA205B	Single	Innospora_majewski_JA205B_ASV_107
ASV_108	78	Dentiscutata_erythropa	85	RI275_31	Single	Dentiscutata_erythropa_RI275_31_ASV_108
ASV_109	77	Multiple_species	8|40	MT106|KS210	Multi	Multiple_species_MT106|KS210_ASV_109
ASV_110	77	Funneliformis_monosporus	88	WY107	Single	Funneliformis_monosporus_WY107_ASV_110
ASV_111	77	Funneliformis_mosseae	90	510_4A	Single	Funneliformis_mosseae_510_4A_ASV_111
ASV_112	77	Rhizophagus_dimorphicus	25	FL912N	Single	Rhizophagus_dimorphicus_FL912N_ASV_112
ASV_113	76	Multiple_species	8|37	MT106|IS185_26	Multi	Multiple_species_MT106|IS185_26_ASV_113
ASV_114	76	Funneliformis_mosseae	69	NC302C	Single	Funneliformis_mosseae_NC302C_ASV_114
ASV_115	75	Scutellospora_weresubiae	31	SCT377A_1	Single	Scutellospora_weresubiae_SCT377A_1_ASV_115
ASV_116	74	Ambispora_gerdemannii	8	MT106	Single	Ambispora_gerdemannii_MT106_ASV_116
ASV_117	74	Funneliformis_mosseae	90	510_4A	Single	Funneliformis_mosseae_510_4A_ASV_117
ASV_118	74	Funneliformis_mosseae	90	510_4A	Single	Funneliformis_mosseae_510_4A_ASV_118
ASV_119	74	Funneliformis_mosseae	46	87_11	Single	Funneliformis_mosseae_87_11_ASV_119
ASV_120	73	Funneliformis_coronatus	15	MR101	Single	Funneliformis_coronatus_MR101_ASV_120
ASV_121	73	Dentiscutata_erythropa	85	RI275_31	Single	Dentiscutata_erythropa_RI275_31_ASV_121
ASV_122	72	Gigaspora_margarita	5	NC114B	Single	Gigaspora_margarita_NC114B_ASV_122
ASV_123	72	Unknown_NA	70	JAY1	Single	Unknown_NA_JAY1_ASV_123
ASV_124	69	Multiple_species	8|52|89	9	Single	Multiple_species_9_ASV_124
ASV_125	67	Unknown_NA	70	JAY1	Single	Unknown_NA_JAY1_ASV_125
ASV_126	66	Rhizophagus_sinuosus	7	MD126	Single	Rhizophagus_sinuosus_MD126_ASV_126
ASV_127	66	Gigaspora_albida	9	BR235	Single	Gigaspora_albida_BR235_ASV_127
ASV_128	65	Funneliformis_mosseae	69	NC302C	Single	Funneliformis_mosseae_NC302C_ASV_128
ASV_129	65	Gigaspora_albida	9	BR235	Single	Gigaspora_albida_BR235_ASV_129
ASV_130	64	Funneliformis_coronatus	15	MR101	Single	Funneliformis_coronatus_MR101_ASV_130
ASV_131	64	Gigaspora_decipiens	89	AU102_9	Single	Gigaspora_decipiens_AU102_9_ASV_131
ASV_132	63	Rhizophagus_sinuosus	7	MD126	Single	Rhizophagus_sinuosus_MD126_ASV_132
ASV_133	63	Rhizophagus_dimorphicus	25	FL912N	Single	Rhizophagus_dimorphicus_FL912N_ASV_133
ASV_134	62	Funneliformis_monosporus	88	WY107	Single	Funneliformis_monosporus_WY107_ASV_134
ASV_135	62	Funneliformis_mosseae	90	510_4A	Single	Funneliformis_mosseae_510_4A_ASV_135
ASV_136	62	NA_NA	118	Field_MB24	Single	NA_NA_Field_MB24_ASV_136
ASV_137	59	Funneliformis_mosseae	90	510_4A	Single	Funneliformis_mosseae_510_4A_ASV_137
ASV_138	59	NA_NA	118	Field_MB24	Single	NA_NA_Field_MB24_ASV_138
ASV_139	58	NA_NA	118	Field_MB24	Single	NA_NA_Field_MB24_ASV_139
ASV_140	55	Ambispora_leptoticha	11	MX982A	Single	Ambispora_leptoticha_MX982A_ASV_140
ASV_141	55	Funneliformis_mosseae	69	NC302C	Single	Funneliformis_mosseae_NC302C_ASV_141
